f_id,f_ori_name,f_eng_name,langual,f_origen,edible_portion
781,"Chocolate negro, con almendras","Chocolate, bitter, with almonds",A0272 A0456 A0630 A0663 A0699 A0733 A0839 B1318 C0208 E0140 F0014 G0003 H0158 H0177 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
782,"Chocolate negro, con azúcar","Chocolate bitter, with sugar",A0272 A0456 A0630 A0663 A0699 A0733 A0839 B1318 C0208 E0140 F0014 G0003 H0158 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
783,Crema de chocolate con avellanas,Chocolate paste with hazelnuts,A0272 A0630 A0663 A0733 A0839 B1012 C0210 E0119 F0014 G0003 H0177 H0184 H0227 H0231 H0263 J0146 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
784,Crema inglesa,English custard,A0285 A0452 A0626 A0721 A0724 A0774 A0864 B1201 C0195 E0119 F0014 G0014 H0158 H0184 H0185 H0229 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0119,BEDCA,1.000000
785,"Turrón, tipo Alicante","Nougat, ""alicante"" type",A0188 A0456 A0630 A0663 A0722 A0735 A0852 B1272 C0136 E0151 F0014 G0003 H0149 H0158 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
786,Fructosa,Fructose,A0118 A0636 A0723 A0736 A0869 B1012 C0223 E0106 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
787,Crema pastelera,Custard,A0285 A0452 A0626 A0721 A0724 A0774 A0864 B1201 C0195 E0119 F0014 G0014 H0146 H0158 H0184 H0185 H0229 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
788,"Chocolate, negro","Chocolate, bitter",A0272 A0456 A0630 A0662 A0699 A0733 A0839 B1318 C0208 E0140 F0014 G0003 H0003 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
789,Aperitivos de trigo,Wheat appetizer,A0228 A0457 A0631 A0722 A0729 A0768 A0866 B1312 C0203 E0140 F0014 G0025 H0227 H0263 H0367 J0001 K0001 M0144 M0197 N0001 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
790,Alioli,"Garlic mayonnaise, oil unspecified",A0292 A0463 A0637 A0722 A0735 A0760 A0859 B1547 C0167 E0119 F0014 G0001 H0100 H0148 H0185 H0200 H0212 H0228 H0347 H0367 J0123 K0003 M0184 M0194 N0001 P0024 R0212 R0497 Z0109 Z0205,BEDCA,1.000000
791,Zumo de uva y melocotón,Grape and peach juice,A0130 A0455 A0629 A0708 A0732 A0766 A0841 B1329 C0140 E0123 F0014 G0003 H0136 H0148 H0362 J0123 K0003 M0194 N0001 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
792,Caldo vegetal,Vegetable stock,A0133 A0466 A0640 A0663 A0722 A0735 A0856 B1013 C0228 E0143 F0001 G0001 H0151 H0212 H0263 H0367 J0001 K0003 M0159 M0194 M0213 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
793,"Chile, rojo","Chili pepper, red",A0133 A0466 A0640 A0677 A0705 A0731 A0826 B1250 C0167 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0052 Z0112,BEDCA,1.000000
794,"Chile, verde","Chili pepper, green",A0133 A0455 A0629 A0677 A0705 A0731 A0826 B1250 C0167 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0051 Z0112,BEDCA,1.000000
795,"Bacalao, fresco, al horno","Cod, fresh, baked",A0267 A0460 A0634 A0717 A0727 A0747 A0804 B1842 C0266 E0122 F0014 G0005 H0229 H0341 H0367 J0003 K0003 M0151 N0041 P0024 R0212 R0495 Z0056 Z0109,BEDCA,0.790000
